date_id,full_date,day,month,month_name,quarter,year,weekday
1,2016-11-08,8,11,November,4,2016,Tuesday
2,2016-06-12,12,6,June,2,2016,Sunday
3,2015-10-11,11,10,October,4,2015,Sunday
4,2014-06-09,9,6,June,2,2014,Monday
5,2017-04-15,15,4,April,2,2017,Saturday
6,2016-12-05,5,12,December,4,2016,Monday
7,2015-11-22,22,11,November,4,2015,Sunday
8,2014-11-11,11,11,November,4,2014,Tuesday
9,2014-05-13,13,5,May,2,2014,Tuesday
10,2014-08-27,27,8,August,3,2014,Wednesday
11,2016-12-09,9,12,December,4,2016,Friday
12,2017-07-16,16,7,July,3,2017,Sunday
13,2015-09-25,25,9,September,3,2015,Friday
14,2016-01-16,16,1,January,1,2016,Saturday
15,2015-09-17,17,9,September,3,2015,Thursday
16,2017-10-19,19,10,October,4,2017,Thursday
17,2016-12-08,8,12,December,4,2016,Thursday
18,2015-12-27,27,12,December,4,2015,Sunday
19,2017-09-10,10,9,September,3,2017,Sunday
20,2016-07-17,17,7,July,3,2016,Sunday
21,2017-09-19,19,9,September,3,2017,Tuesday
22,2016-03-11,11,3,March,1,2016,Friday
23,2014-10-20,20,10,October,4,2014,Monday
24,2016-06-20,20,6,June,2,2016,Monday
25,2015-04-18,18,4,April,2,2015,Saturday
26,2016-12-11,11,12,December,4,2016,Sunday
27,2016-06-17,17,6,June,2,2016,Friday
28,2015-11-24,24,11,November,4,2015,Tuesday
29,2015-04-30,30,4,April,2,2015,Thursday
30,2014-12-05,5,12,December,4,2014,Friday
31,2016-06-04,4,6,June,2,2016,Saturday
32,2016-09-18,18,9,September,3,2016,Sunday
33,2017-09-14,14,9,September,3,2017,Thursday
34,2015-04-26,26,4,April,2,2015,Sunday
35,2017-12-09,9,12,December,4,2017,Saturday
36,2014-11-26,26,11,November,4,2014,Wednesday
37,2014-10-12,12,10,October,4,2014,Sunday
38,2015-09-03,3,9,September,3,2015,Thursday
39,2017-11-13,13,11,November,4,2017,Monday
40,2017-05-28,28,5,May,2,2017,Sunday
