location_id,postal_code,city,state,region
1,42420,Henderson,Kentucky,South
2,90036,Los Angeles,California,West
3,33311,Fort Lauderdale,Florida,South
4,90032,Los Angeles,California,West
5,28027,Concord,North Carolina,South
6,98103,Seattle,Washington,West
7,76106,Fort Worth,Texas,Central
8,53711,Madison,Wisconsin,Central
9,84084,West Jordan,Utah,West
10,94109,San Francisco,California,West
11,68025,Fremont,Nebraska,Central
12,19140,Philadelphia,Pennsylvania,East
13,84057,Orem,Utah,West
14,90049,Los Angeles,California,West
15,77095,Houston,Texas,Central
16,75080,Richardson,Texas,Central
17,77041,Houston,Texas,Central
18,60540,Naperville,Illinois,Central
19,32935,Melbourne,Florida,South
20,55122,Eagan,Minnesota,Central
21,48185,Westland,Michigan,Central
22,19901,Dover,Delaware,East
23,47150,New Albany,Indiana,Central
24,10024,New York City,New York,East
25,12180,Troy,New York,East
26,90004,Los Angeles,California,West
27,60610,Chicago,Illinois,Central
28,85234,Gilbert,Arizona,West
29,22153,Springfield,Virginia,South
30,10009,New York City,New York,East
31,49201,Jackson,Michigan,Central
32,38109,Memphis,Tennessee,South
33,77070,Houston,Texas,Central
34,35601,Decatur,Alabama,South
35,94122,San Francisco,California,West
36,27707,Durham,North Carolina,South
37,60623,Chicago,Illinois,Central
38,29203,Columbia,South Carolina,South
39,55901,Rochester,Minnesota,Central
40,55407,Minneapolis,Minnesota,Central
41,97206,Portland,Oregon,West
42,55106,Saint Paul,Minnesota,Central
43,80013,Aurora,Colorado,West
44,28205,Charlotte,North Carolina,South
45,60462,Orland Park,Illinois,Central
46,10035,New York City,New York,East
47,50322,Urbandale,Iowa,Central
48,43229,Columbus,Ohio,East
49,37620,Bristol,Tennessee,South
50,19805,Wilmington,Delaware,East
51,61701,Bloomington,Illinois,Central
52,85023,Phoenix,Arizona,West
53,95661,Roseville,California,West
54,64055,Independence,Missouri,Central
55,91104,Pasadena,California,West
56,43055,Newark,Ohio,East
57,53132,Franklin,Wisconsin,Central
58,85254,Scottsdale,Arizona,West
59,95123,San Jose,California,West
60,98105,Seattle,Washington,West
61,98115,Seattle,Washington,West
62,73034,Edmond,Oklahoma,Central
63,90045,Los Angeles,California,West
64,19134,Philadelphia,Pennsylvania,East
65,88220,Carlsbad,New Mexico,West
66,78207,San Antonio,Texas,Central
67,77036,Houston,Texas,Central
68,62521,Decatur,Illinois,Central
69,71203,Monroe,Louisiana,South
70,6824,Fairfield,Connecticut,East
71,75051,Grand Prairie,Texas,Central
72,92374,Redlands,California,West
73,45011,Hamilton,Ohio,East
74,7090,Westfield,New Jersey,East
75,19120,Philadelphia,Pennsylvania,East
76,44312,Akron,Ohio,East
77,80219,Denver,Colorado,West
78,75220,Dallas,Texas,Central
79,37064,Franklin,Tennessee,South
80,90604,Whittier,California,West
81,48601,Saginaw,Michigan,Central
82,44256,Medina,Ohio,East
83,43017,Dublin,Ohio,East
84,48227,Detroit,Michigan,Central
85,38401,Columbia,Tennessee,South
86,33614,Tampa,Florida,South
87,95051,Santa Clara,California,West
88,55044,Lakeville,Minnesota,Central
89,92037,San Diego,California,West
90,77506,Pasadena,Texas,Central
91,94513,Brentwood,California,West
92,27514,Chapel Hill,North Carolina,South
93,7960,Morristown,New Jersey,East
94,45231,Cincinnati,Ohio,East
95,94110,San Francisco,California,West
96,90301,Inglewood,California,West
97,33319,Tamarac,Florida,South
98,80906,Colorado Springs,Colorado,West
99,7109,Belleville,New Jersey,East
100,48180,Taylor,Michigan,Central
101,8701,Lakewood,New Jersey,East
102,22204,Arlington,Virginia,South
103,80004,Arvada,Colorado,West
104,7601,Hackensack,New Jersey,East
105,33710,Saint Petersburg,Florida,South
106,19143,Philadelphia,Pennsylvania,East
107,90805,Long Beach,California,West
108,92345,Hesperia,California,West
109,37130,Murfreesboro,Tennessee,South
110,84041,Layton,Utah,West
111,78745,Austin,Texas,Central
