sale_id,order_id,customer_id,product_id,location_id,date_id,ship_mode,sales,quantity,discount,profit
1,CA-2016-152156,CG-12520,FUR-BO-10001798,1,1,Second Class,261.96,2,0.0,41.91
2,CA-2016-152156,CG-12520,FUR-CH-10000454,1,1,Second Class,731.94,3,0.0,219.58
3,CA-2016-138688,DV-13045,OFF-LA-10000240,2,2,Second Class,14.62,2,0.0,6.87
4,US-2015-108966,SO-20335,FUR-TA-10000577,3,3,Standard Class,957.58,5,0.45,-383.03
5,US-2015-108966,SO-20335,OFF-ST-10000760,3,3,Standard Class,22.37,2,0.2,2.52
6,CA-2014-115812,BH-11710,FUR-FU-10001487,4,4,Standard Class,48.86,7,0.0,14.17
7,CA-2014-115812,BH-11710,OFF-AR-10002833,4,4,Standard Class,7.28,4,0.0,1.97
8,CA-2014-115812,BH-11710,TEC-PH-10002275,4,4,Standard Class,907.15,6,0.2,90.72
9,CA-2014-115812,BH-11710,OFF-BI-10003910,4,4,Standard Class,18.5,3,0.2,5.78
10,CA-2014-115812,BH-11710,OFF-AP-10002892,4,4,Standard Class,114.9,5,0.0,34.47
11,CA-2014-115812,BH-11710,FUR-TA-10001539,4,4,Standard Class,1706.18,9,0.2,85.31
12,CA-2014-115812,BH-11710,TEC-PH-10002033,4,4,Standard Class,911.42,4,0.2,68.36
13,CA-2017-114412,AA-10480,OFF-PA-10002365,5,5,Standard Class,15.55,3,0.2,5.44
14,CA-2016-161389,IM-15070,OFF-BI-10003656,6,6,Standard Class,407.98,3,0.2,132.59
15,US-2015-118983,HP-14815,OFF-AP-10002311,7,7,Standard Class,68.81,5,0.8,-123.86
16,US-2015-118983,HP-14815,OFF-BI-10000756,7,7,Standard Class,2.54,3,0.8,-3.82
17,CA-2014-105893,PK-19075,OFF-ST-10004186,8,8,Standard Class,665.88,6,0.0,13.32
18,CA-2014-167164,AG-10270,OFF-ST-10000107,9,9,Second Class,55.5,2,0.0,9.99
19,CA-2014-143336,ZD-21925,OFF-AR-10003056,10,10,Second Class,8.56,2,0.0,2.48
20,CA-2014-143336,ZD-21925,TEC-PH-10001949,10,10,Second Class,213.48,3,0.2,16.01
21,CA-2014-143336,ZD-21925,OFF-BI-10002215,10,10,Second Class,22.72,4,0.2,7.38
22,CA-2016-137330,KB-16585,OFF-AR-10000246,11,11,Standard Class,19.46,7,0.0,5.06
23,CA-2016-137330,KB-16585,OFF-AP-10001492,11,11,Standard Class,60.34,7,0.0,15.69
24,US-2017-156909,SF-20065,FUR-CH-10002774,12,12,Second Class,71.37,2,0.3,-1.02
25,CA-2015-106320,EB-13870,FUR-TA-10000577,13,13,Standard Class,1044.63,3,0.0,240.26
26,CA-2016-121755,EH-13945,OFF-BI-10001634,14,14,Second Class,11.65,2,0.2,4.22
27,CA-2016-121755,EH-13945,TEC-AC-10003027,14,14,Second Class,90.57,3,0.0,11.77
28,US-2015-150630,TB-21520,FUR-BO-10004834,12,15,Standard Class,3083.43,7,0.5,-1665.05
29,US-2015-150630,TB-21520,OFF-BI-10000474,12,15,Standard Class,9.62,2,0.7,-7.05
30,US-2015-150630,TB-21520,FUR-FU-10004848,12,15,Standard Class,124.2,3,0.2,15.52
31,US-2015-150630,TB-21520,OFF-EN-10001509,12,15,Standard Class,3.26,2,0.2,1.1
32,US-2015-150630,TB-21520,OFF-AR-10004042,12,15,Standard Class,86.3,6,0.2,9.71
33,US-2015-150630,TB-21520,OFF-BI-10001525,12,15,Standard Class,6.86,6,0.7,-5.72
34,US-2015-150630,TB-21520,OFF-AR-10001683,12,15,Standard Class,15.76,2,0.2,3.55
35,CA-2017-107727,MA-17560,OFF-PA-10000249,15,16,Second Class,29.47,3,0.2,9.95
36,CA-2016-117590,GH-14485,TEC-PH-10004977,16,17,First Class,1097.54,7,0.2,123.47
37,CA-2016-117590,GH-14485,FUR-FU-10003664,16,17,First Class,190.92,5,0.6,-147.96
38,CA-2015-117415,SN-20710,OFF-EN-10002986,17,18,Standard Class,113.33,9,0.2,35.42
39,CA-2015-117415,SN-20710,FUR-BO-10002545,17,18,Standard Class,532.4,3,0.32,-46.98
40,CA-2015-117415,SN-20710,FUR-CH-10004218,17,18,Standard Class,212.06,3,0.3,-15.15
41,CA-2015-117415,SN-20710,TEC-PH-10000486,17,18,Standard Class,371.17,4,0.2,41.76
42,CA-2017-120999,LC-16930,TEC-PH-10004093,18,19,Standard Class,147.17,4,0.2,16.56
43,CA-2016-101343,RA-19885,OFF-ST-10003479,14,20,Standard Class,77.88,2,0.0,3.89
44,CA-2017-139619,ES-14080,OFF-ST-10003282,19,21,Standard Class,95.62,2,0.2,9.56
45,CA-2016-118255,ON-18715,TEC-AC-10000171,20,22,First Class,45.98,2,0.0,19.77
46,CA-2016-118255,ON-18715,OFF-BI-10003291,20,22,First Class,17.46,2,0.0,8.21
47,CA-2014-146703,PO-18865,OFF-ST-10001713,21,23,Second Class,211.96,4,0.0,8.48
48,CA-2016-169194,LH-16900,TEC-AC-10002167,22,24,Standard Class,45.0,3,0.0,4.95
49,CA-2016-169194,LH-16900,TEC-PH-10003988,22,24,Standard Class,21.8,2,0.0,6.1
50,CA-2015-115742,DP-13000,OFF-BI-10004410,23,25,Standard Class,38.22,6,0.0,17.96
51,CA-2015-115742,DP-13000,OFF-LA-10002762,23,25,Standard Class,75.18,6,0.0,35.33
52,CA-2015-115742,DP-13000,FUR-FU-10001706,23,25,Standard Class,6.16,2,0.0,2.96
53,CA-2015-115742,DP-13000,FUR-CH-10003061,23,25,Standard Class,89.99,1,0.0,17.1
54,CA-2016-105816,JM-15265,OFF-FA-10000304,24,26,Standard Class,15.26,7,0.0,6.26
55,CA-2016-105816,JM-15265,TEC-PH-10002447,24,26,Standard Class,1029.95,5,0.0,298.69
56,CA-2016-111682,TB-21055,OFF-ST-10000604,25,27,First Class,208.56,6,0.0,52.14
57,CA-2016-111682,TB-21055,OFF-PA-10001569,25,27,First Class,32.4,5,0.0,15.55
58,CA-2016-111682,TB-21055,FUR-CH-10003968,25,27,First Class,319.41,5,0.1,7.1
59,CA-2016-111682,TB-21055,OFF-PA-10000587,25,27,First Class,14.56,2,0.0,6.99
60,CA-2016-111682,TB-21055,TEC-AC-10002167,25,27,First Class,30.0,2,0.0,3.3
61,CA-2016-111682,TB-21055,OFF-BI-10001460,25,27,First Class,48.48,4,0.2,16.36
62,CA-2016-111682,TB-21055,OFF-AR-10001868,25,27,First Class,1.68,1,0.0,0.84
